perfil,data,texto,reply_ou_original,tem_midia,tipo_midia,quotes,replies,retweets,likes,media_interacoes,link
americanas,Thu Jul 16 20:25:59 +0000 2020,@rbdpaixao @BabuSantana Babu Iti Malia Santana é o nome dele 🥺🥺 🗣️ 🗣️ 😍,reply,não,nenhum,0,1,0,6,1.75,https://www.twitter.com/americanascom/status/1283860452703965184
americanas,Thu Jul 16 20:24:43 +0000 2020,"@ft_moreira oi, Felp! me diz o que houve?",reply,não,nenhum,0,0,0,0,0,https://www.twitter.com/americanascom/status/1283860131625734144
americanas,Thu Jul 16 20:15:31 +0000 2020,"@boyprates oooooooba &lt;3 🥰

🥳🥳 feliz aniversário, Danieeel! aproveita o seu dia 🥳🥳 https://t.co/CJmkoYzoB3",reply,sim,animated_gif,1,1,0,1,0.75,https://www.twitter.com/americanascom/status/1283857816890023942
americanas,Thu Jul 16 20:11:57 +0000 2020,@WannaGuedes eu seeei que vocês gostam!  😜 😍,reply,não,nenhum,0,1,0,1,0.5,https://www.twitter.com/americanascom/status/1283856919367753735
americanas,Thu Jul 16 19:58:35 +0000 2020,"@ViadinhoFudido Olá! Como podemos te ajudar? Se o seu problema for relacionado a algum pedido, envia o número dele, por favor? Obrigada!",reply,não,nenhum,0,1,0,0,0.25,https://www.twitter.com/americanascom/status/1283853556660023296
americanas,Thu Jul 16 19:48:38 +0000 2020,@Lavsct te respondi por lá :),reply,não,nenhum,0,0,0,1,0.25,https://www.twitter.com/americanascom/status/1283851053704912897
americanas,Thu Jul 16 19:48:10 +0000 2020,"❤️🥳 SEPHORA 8 ANINHOS 🥳❤️

Venha comemorar o aniversário da @sephorabrasil com um desconto especial 🤩

Dia: hoje e amanhã
Local: na loja Sephora na Americanas

Aguardo você 😘 https://t.co/rkCk9nNRL3 https://t.co/iQFGEtm70P",original,sim,photo,0,6,0,8,3.5,https://www.twitter.com/americanascom/status/1283850933651349506
americanas,Thu Jul 16 19:27:31 +0000 2020,"@laipimentel Olá! Envia o número do seu pedido e um número de telefone com DDD, por DM, que a gente vai dar uma olhada. Obrigada!",reply,não,nenhum,0,0,0,0,0,https://www.twitter.com/americanascom/status/1283845738330562560
americanas,Thu Jul 16 19:22:59 +0000 2020,"@FariaPat Oi! Poxa, não queria que a sua experiência fosse assim! Envia o número do seu pedido e um número de telefone com DDD, por DM, que a gente vai dar uma olhada. Obrigada!",reply,não,nenhum,0,0,0,0,0,https://www.twitter.com/americanascom/status/1283844599342084098
americanas,Thu Jul 16 19:22:19 +0000 2020,"@spidermarmo Olá! Envia o número do seu pedido, fotos do produto entregue e um número de telefone com DDD, por DM, que a gente vai dar uma olhada. Obrigada!",reply,não,nenhum,0,0,0,0,0,https://www.twitter.com/americanascom/status/1283844431058280451
