perfil,data,texto,reply_ou_original,tem_midia,tipo_midia,quotes,replies,retweets,likes,media_interacoes,link
Coca-Cola Brasil,Mon Jun 29 15:46:36 +0000 2020,@joaorqn Estamos aqui para te ajudar! Que tal comprar duas ofertas com desconto? Clique aqui 👉 https://t.co/n2rl6icrCp Rappi + Mc Donalds - 15 reais desconto em duas McOfertas! https://t.co/6XdyotUN4o,reply,sim,animated_gif,0,0,0,1,0.25,https://www.twitter.com/CocaCola_Br/status/1277629550575394820
Coca-Cola Brasil,Mon Jun 29 15:46:27 +0000 2020,"@thaisgaby14 Que tal matar essa vontade pedindo um Méqui com aquele desconto, hein!? Só acessar o link: https://t.co/1O6cASke6m e aproveitar 40% OFF em 4 McOfertas Média + 20 Chicken McNuggets. + Coca-Cola. Delícia, né? https://t.co/WA7LBeul7y",reply,sim,animated_gif,0,0,0,0,0,https://www.twitter.com/CocaCola_Br/status/1277629511887192065
Coca-Cola Brasil,Mon Jun 29 15:46:06 +0000 2020,@klelex E tá errada? 😆 Tem pratos com até 30% de desconto no Spoleto. Vem dar uma olhadinha! 👉https://t.co/BtlHE7acfu https://t.co/Y5WcWX5cGW,reply,sim,animated_gif,0,0,0,0,0,https://www.twitter.com/CocaCola_Br/status/1277629423395713026
Coca-Cola Brasil,Mon Jun 29 15:45:58 +0000 2020,"@_daraaG Então, confere esse rolê! Que tal 2 McOfertas com R$ 15,00 de desconto para novos usuários na Rappi? É só utilizar o cupom: 15COCACOLA pra garantir o desconto e o lanche mara com Coca-Cola gelada! 
Só vem: https://t.co/n2rl6icrCp 😉🍔 https://t.co/VfG1fJug5T",reply,sim,animated_gif,0,0,0,0,0,https://www.twitter.com/CocaCola_Br/status/1277629391934296065
Coca-Cola Brasil,Mon Jun 29 15:45:07 +0000 2020,"@manoale_ A gente te entende, Alê! E que tal uma massa? Pede lá no Spoleto que você pode ter desocnto de até 30% no Delivery. É só clicar aqui: https://t.co/BtlHE7acfu 😋 https://t.co/8xBM1B3wOc",reply,sim,animated_gif,0,0,0,0,0,https://www.twitter.com/CocaCola_Br/status/1277629176695177217
Coca-Cola Brasil,Mon Jun 29 15:44:42 +0000 2020,@Carolina_Perete Temos uma boa pra você! 😋Clique aqui 👉 https://t.co/n2rl6icrCp Rappi + Mc Donalds - 15 reais desconto em duas McOfertas! https://t.co/Futb4cY9la,reply,sim,animated_gif,0,1,0,1,0.5,https://www.twitter.com/CocaCola_Br/status/1277629073519448064
Coca-Cola Brasil,Mon Jun 29 15:44:19 +0000 2020,"@_rmadeira Hora de acabar com essa fome!😉 Acessando https://t.co/kcCsP58KhJ, você pode aproveitar descontos em pratos deliciosos acompanhados de Coca-Cola geladinha!❤ https://t.co/nJ9psE4zLU",reply,sim,animated_gif,0,0,0,0,0,https://www.twitter.com/CocaCola_Br/status/1277628976593330185
Coca-Cola Brasil,Mon Jun 29 15:43:58 +0000 2020,"@Luuhausenback Que tal uma ajudinha? 😋Clique aqui em https://t.co/n2rl6icrCp e use o cupom 15COCACOLA para ganhar R$ 15,00 de desconto em duas McOfertas no seu primeiro pedido na Rappi! ❤ https://t.co/iKzUebhwgq",reply,sim,animated_gif,0,0,0,0,0,https://www.twitter.com/CocaCola_Br/status/1277628888584241152
Coca-Cola Brasil,Mon Jun 29 15:43:40 +0000 2020,@liobility De fome a gente entende! 😜 Clique aqui 👉 https://t.co/n2rl6icrCp Rappi + Mc Donalds - 15 reais desconto em duas McOfertas! https://t.co/0HQQrxVY4g,reply,sim,animated_gif,0,0,0,0,0,https://www.twitter.com/CocaCola_Br/status/1277628809966125058
Coca-Cola Brasil,Mon Jun 29 15:43:38 +0000 2020,"@leandrobarrosmm Oi Leandro! Vai tudo ficar bem! Mas pra gente descobrir se é fome, toma aqui aquele descontão! 😋 É só pedir pelo Ifood 2 Clássicos + McFritas + Bebida que sai com 40% de desconto no McDonalds. Corre lá ?? https://t.co/1O6cASke6m https://t.co/qG5WwBYnzs",reply,sim,animated_gif,0,2,0,7,2.25,https://www.twitter.com/CocaCola_Br/status/1277628802055708672
